NAME                                     READY   STATUS    RESTARTS       AGE   IP            NODE                            NOMINATED NODE   READINESS GATES
adservice-5c5cb6fd89-rch4s               1/1     Running   6 (24h ago)    11d   10.244.2.7    self-healing-research-worker    <none>           <none>
cartservice-7b9b8494bd-gqztm             1/1     Running   6 (24h ago)    20d   10.244.2.10   self-healing-research-worker    <none>           <none>
checkoutservice-595f484ddc-vzrhp         1/1     Running   0              17m   10.244.1.18   self-healing-research-worker2   <none>           <none>
currencyservice-7cf854779d-859cw         1/1     Running   61 (14m ago)   21d   10.244.1.6    self-healing-research-worker2   <none>           <none>
emailservice-865686d78f-k5pnp            1/1     Running   13 (24h ago)   21d   10.244.1.14   self-healing-research-worker2   <none>           <none>
frontend-7479856bb5-rmg57                1/1     Running   11 (24h ago)   20d   10.244.2.4    self-healing-research-worker    <none>           <none>
loadgenerator-57544dd96f-n5pzg           1/1     Running   6 (24h ago)    21d   10.244.2.2    self-healing-research-worker    <none>           <none>
paymentservice-5f894995b9-6tblt          1/1     Running   29 (24m ago)   21d   10.244.1.13   self-healing-research-worker2   <none>           <none>
productcatalogservice-7f985c7c75-rknhk   1/1     Running   11 (24h ago)   20d   10.244.2.8    self-healing-research-worker    <none>           <none>
recommendationservice-84cf6f57bd-qxw75   1/1     Running   11 (24h ago)   21d   10.244.1.3    self-healing-research-worker2   <none>           <none>
redis-cart-558f8d8d44-gl7lh              1/1     Running   7 (24h ago)    21d   10.244.2.3    self-healing-research-worker    <none>           <none>
shippingservice-86d6d6788c-7p2fj         1/1     Running   11 (24h ago)   21d   10.244.1.4    self-healing-research-worker2   <none>           <none>
